"FAQ_1","FAQ_2","FAQ_3","FAQ_4","FAQ_5","FAQ_6","FAQ_7","FAQ_8"
"Finally  a fair shot at funding.","Finally  a fair shot at funding.","","","","","",""
"Join the #nordicteam and get up to $1,000,000 in funding. ","Join the #nordicteam and get up to $1,000,000 in funding. ","","","","","",""
"NORDIC FUNDER","NORDIC FUNDER","","","","","",""
" "," ","","","","","",""
" "," ","","","","","",""
"4.6 user rating","4.6 user rating","","","","","",""
" "," ","","","","","","Trade lot sizes proportional to your account size and leverage."
